norad_id,nome,tipo_objeto,pais,tamanho_rcs,periodo_min,inclinacao,apogeu_km,perigeu_km,altitude_km,velocidade_kms,risco_colisao,eh_detrito,idade_anos,data_lancamento,data_decaimento,alerta_ativo
1,SL-1 R/B,ROCKET BODY,,LARGE,96.19,65.10,938,214,583.19,7.571,9.0,0,,,,0
2,SPUTNIK 1,PAYLOAD,,,96.10,65.00,1080,64,578.86,7.573,9.0,0,,,,0
3,SPUTNIK 2,PAYLOAD,,,103.74,65.33,1659,211,942.48,7.383,9.0,0,,,,0
4,EXPLORER 1,PAYLOAD,,,88.48,33.15,215,183,206.44,7.785,9.0,0,,,,0
7,SL-1 R/B,ROCKET BODY,,,102.74,65.14,1571,206,895.41,7.406,9.0,0,,,,0
8,SPUTNIK 3,PAYLOAD,,,88.43,65.06,255,139,203.96,7.786,9.0,0,,,,0
9,EXPLORER 4,PAYLOAD,,,92.81,50.25,585,239,419.32,7.662,9.0,0,,,,0
10,SCORE,PAYLOAD,,,98.21,32.29,1187,159,680.22,7.519,9.0,0,,,,0
11,VANGUARD 2,PAYLOAD,,MEDIUM,120.96,32.87,2895,553,1730.92,7.014,4.0,0,,,,0
12,VANGUARD R/B,ROCKET BODY,,MEDIUM,125.37,32.90,3286,553,1926.67,6.931,4.0,0,,,,0
18,DISCOVERER 5,PAYLOAD,,,89.10,79.99,323,137,237.13,7.767,9.0,0,,,,0
19,DISCOVERER 6,PAYLOAD,,,90.92,84.00,469,171,326.81,7.714,9.0,0,,,,0
20,VANGUARD 3,PAYLOAD,,MEDIUM,123.93,33.35,3205,507,1863.01,6.958,4.0,0,,,,0
22,EXPLORER 7,PAYLOAD,,MEDIUM,94.21,50.24,534,426,487.43,7.624,6.0,0,,,,0
23,JUNO II R/B,ROCKET BODY,,MEDIUM,89.24,50.27,249,225,244.05,7.763,9.0,0,,,,0
24,DISCOVERER 7,PAYLOAD,,,91.54,81.64,539,161,357.23,7.697,9.0,0,,,,0
25,DISCOVERER 8,PAYLOAD,,,88.03,80.65,239,115,184.12,7.798,9.0,0,,,,0
26,DISCOVERER 5 CAPSULE,PAYLOAD,,,88.73,78.94,280,143,218.82,7.777,9.0,0,,,,0
28,THOR ABLE R/B,ROCKET BODY,,LARGE,87.80,48.34,168,163,172.7,7.805,9.0,0,,,,0
29,TIROS 1,PAYLOAD,,MEDIUM,97.38,48.38,649,618,640.43,7.54,2.5,0,,,,0
30,THOR ABLESTAR R/B,ROCKET BODY,,,88.38,51.25,194,194,201.48,7.788,9.0,0,,,,0
31,TRANSIT 1B,PAYLOAD,,,88.70,51.20,220,201,217.34,7.778,9.0,0,,,,0
32,DISCOVERER 11,PAYLOAD,,,89.70,80.10,377,142,266.76,7.749,9.0,0,,,,0
33,THOR ABLESTAR DEB,DEBRIS,,,93.59,51.29,615,285,457.31,7.64,13.0,1,,,,1
34,SPUTNIK 4,PAYLOAD,,,87.82,64.96,167,167,173.69,7.804,9.0,0,,,,0
35,SL-3 R/B,ROCKET BODY,,,88.48,64.89,199,199,206.44,7.785,9.0,0,,,,0
36,SPUTNIK 4 CABIN,PAYLOAD,,,88.26,64.96,206,171,195.53,7.791,9.0,0,,,,0
